replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
68;Y ~ X1 + X2;0.5;1;1;1;1;0.299181818181818;0.889395320571255;0.902822436584494;42;728;9.04120879120879;10.6481910242312;3;0.889541715628672;0.908624229979466;-0.207502772727273
69;Y ~ X1 + X2;0.5;1;1;1;1;0.494545454545455;0.920588235294118;0.877996422182469;12;864;12.5925925925926;13.4439022046401;7;0.926605504587156;0.828011611030479;0.207144627272727
70;Y ~ X1 + X2;0.5;1;1;1;1;0.186909090909091;0.868190661478599;0.925720236029157;10;542;7.58671586715867;8.78924262045324;3;0.867041198501873;0.93907115466553;-0.209823972727273
71;Y ~ X1 + X2;0.5;1;1;1;1;0.653363636363636;0.977734483718341;0.958964879852126;10;321;44.639751552795;52.5600314872231;3;0.981693363844394;0.917450365726228;0.142516436363636
72;Y ~ X1 + X2;0.5;1;1;1;1;0.470454545454545;0.917117465224111;0.877372262773723;17;857;12.0629370629371;12.7383170497538;3;0.909816440542698;0.850033624747814;0.198944636363636
73;Y ~ X1 + X2;0.5;1;1;1;1;0.140818181818182;0.864987080103359;0.945087784833769;20;419;7.37619047619048;7.71293605232646;4;0.853904282115869;0.960964912280702;0.202788972727273
74;Y ~ X1 + X2;0.5;1;1;1;1;0.647363636363636;0.98005898048027;0.958556627366917;42;284;50.1478873239437;46.0033836533975;2;0.982863460475401;0.914141414141414;-0.0632118727272727
75;Y ~ X1 + X2;0.5;1;1;1;1;0.665090909090909;0.978400546821599;0.954331279449076;13;317;46.0125786163522;46.0631085290527;1;0.979109400769654;0.906382978723404;0.0721763090909091
76;Y ~ X1 + X2;0.5;1;1;1;1;0.686363636363636;0.975493442840111;0.93126634292118;81;371;40.5913978494624;40.0101977701063;12;0.972521551724138;0.838002436053593;0.167342054545455
77;Y ~ X1 + X2;0.5;1;1;1;1;0.715272727272727;0.980808337569903;0.962518195050946;157;302;51.7631578947368;50.986134570474;2;0.982419855222337;0.915233415233415;-0.189730518181818
78;Y ~ X1 + X2;0.5;1;1;1;1;0.660090909090909;0.972180140476518;0.935897435897436;27;404;35.9455445544554;31.9844801442824;3;0.975850713501647;0.855726872246696;-0.170723627272727
79;Y ~ X1 + X2;0.5;1;1;1;1;0.623454545454545;0.977541198774974;0.960624334870521;6;309;44.2451612903226;44.0245418474334;2;0.979820627802691;0.927536231884058;0.100612354545455
80;Y ~ X1 + X2;0.5;1;1;1;1;0.650363636363636;0.979728785125122;0.956266078647556;1;291;49;54.9767348913188;1;0.977272727272727;0.917793964620187;-0.141416872727273
81;Y ~ X1 + X2;0.5;1;1;1;1;0.682090909090909;0.97880565182618;0.957271095152603;3;319;46.89375;50.0764945518731;3;0.978891820580475;0.91123595505618;0.0671396
82;Y ~ X1 + X2;0.5;1;1;1;1;0.685090909090909;0.954479097544791;0.902002861230329;50;687;21.906976744186;21.3603692365946;6;0.954734651404787;0.78604118993135;0.185038036363636
83;Y ~ X1 + X2;0.5;1;1;1;1;0.706363636363636;0.980566280566281;0.960863204096562;345;302;51.4569536423841;51.5526572350172;22;0.984447900466563;0.904347826086957;0.0847613181818182
84;Y ~ X1 + X2;0.5;1;1;1;1;0.709818181818182;0.981683104905854;0.967343976777939;75;287;54.2222222222222;55.7088390426039;6;0.983789260385005;0.925831202046036;-0.152963318181818
85;Y ~ X1 + X2;0.5;1;1;1;1;0.651454545454546;0.978788724532515;0.962829303500541;65;304;46.8366013071895;48.5537490444109;2;0.985024958402662;0.921487603305785;-0.162682081818182
86;Y ~ X1 + X2;0.5;1;1;1;1;0.660909090909091;0.9779887192186;0.960516605166052;8;321;45.1552795031056;46.4711683474565;1;0.979421579532814;0.923245614035088;-0.0083081
87;Y ~ X1 + X2;0.5;1;1;1;1;0.691;0.980134192869359;0.957891012031139;1;302;50.3377483443709;52.3396455748054;1;0.98111281265952;0.905420991926182;-0.148950318181818
88;Y ~ X1 + X2;0.5;1;1;1;1;0.644545454545455;0.975881523272214;0.95069173465768;98;342;41.2209302325581;37.388399602826;3;0.977234869516935;0.903732809430255;0.0815947181818182
89;Y ~ X1 + X2;0.5;1;1;1;1;0.644363636363636;0.978132054176072;0.954412837345004;115;310;45.7290322580645;48.2787239953153;3;0.976940382452194;0.912863070539419;0.0452402363636364
90;Y ~ X1 + X2;0.5;1;1;1;1;0.669636363636364;0.96469789545146;0.922222222222222;31;521;28.2222222222222;29.7596210112804;2;0.964586846543002;0.840390879478827;0.178010136363636
91;Y ~ X1 + X2;0.5;1;1;1;1;0.684636363636364;0.962682602921647;0.922631959508315;7;563;26.7056737588652;26.1982973912283;3;0.965662968832541;0.829324169530355;0.1790358
92;Y ~ X1 + X2;0.5;1;1;1;1;0.660363636363636;0.972879955947137;0.950843727072634;12;394;36.8730964467005;38.4057172754882;1;0.981205085682698;0.890948745910578;0.169719554545455
93;Y ~ X1 + X2;0.5;1;1;1;1;0.676363636363636;0.980373706143299;0.96996336996337;87;293;50.6122448979592;53.2890089903396;3;0.980758952431855;0.946449359720605;0.0997850454545454
94;Y ~ X1 + X2;0.5;1;1;1;1;0.194090909090909;0.887535145267104;0.927853553481694;35;481;8.85892116182573;9.38420732745137;4;0.875226039783002;0.940886699507389;0.209639236363636
95;Y ~ X1 + X2;0.5;1;1;1;1;0.667545454545455;0.979978207572868;0.957685352622061;48;295;49.6148648648649;50.2400392738712;4;0.982887700534759;0.905027932960894;-0.198301327272727
96;Y ~ X1 + X2;0.5;1;1;1;1;0.664363636363636;0.978650609005064;0.956362302896956;7;313;46.5477707006369;47.5829162754913;1;0.981838194826637;0.905494505494505;-0.0996000909090909
97;Y ~ X1 + X2;0.5;1;1;1;1;0.682545454545455;0.980551485280405;0.960877513711152;7;293;51.0748299319728;58.1263489677461;2;0.978723404255319;0.921637426900585;-0.1295139
98;Y ~ X1 + X2;0.5;1;1;1;1;0.723818181818182;0.9819118201231;0.963057790782736;19;289;54.9103448275862;59.7205200684101;7;0.983665135273099;0.910967741935484;0.139813409090909
99;Y ~ X1 + X2;0.5;1;1;1;1;0.0635454545454545;0.858369098712446;0.966076696165192;94;198;7.06060606060606;7.27003660802363;5;0.832432432432432;0.97586070439256;0.206186781818182
100;Y ~ X1 + X2;0.5;1;1;1;1;0.670909090909091;0.979401002845914;0.963145896656535;14;305;48.2352941176471;44.2734868839904;2;0.980392156862745;0.926800472255018;-0.0426763272727273
1;Y ~ X1 + X2;0.5;300;1;1;1;0.717818181818182;0.976060797973401;0.945296007342818;959;379;41.5578947368421;68.1894677261227;155;0.976080839089281;0.867078323041924;0.215931081818182
2;Y ~ X1 + X2;0.5;300;1;1;1;0.664909090909091;0.978124145474433;0.94693352919574;2186;320;45.7125;75.5830492044613;194;0.978059886849731;0.885048010973937;-0.168223690909091
3;Y ~ X1 + X2;0.5;300;1;1;1;0.745272727272727;0.98218860558741;0.940301249081558;2652;293;55.7687074829932;97.2211902621501;366;0.982123042781408;0.818149081742888;0.1592627
4;Y ~ X1 + X2;0.5;300;1;1;1;0.804090909090909;0.975915875169607;0.953355982003489;1438;427;41.3317757009346;67.6699891847834;44;0.975891224862888;0.861150070126227;-0.118381027272727
5;Y ~ X1 + X2;0.5;300;1;1;1;0.975909090909091;0.976430035401528;0.95407788390889;1;507;42.2637795275591;72.9088262404592;1;0.976840519676144;0.0451127819548872;-0.109244854545455
6;Y ~ X1 + X2;0.5;300;1;1;1;0.332272727272727;0.975643130815545;0.925195043597981;617;179;40.6111111111111;77.7860353205278;21;0.975387168141593;0.900261024866053;0.200194509090909
7;Y ~ X1 + X2;0.5;300;1;1;1;0.575909090909091;0.976322020520916;0.943536540580242;3832;300;42.2333333333333;54.2508981977006;320;0.976399298357519;0.898939623458126;0.165421354545455
8;Y ~ X1 + X2;0.5;300;1;1;1;0.830181818181818;0.982039207096704;0.966660543717854;168;329;55.3454545454545;90.8510342334419;2;0.981963040832135;0.891950297136683;-0.0746120909090909
