replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
14;Y ~ X1 + X2;0.5;1;300;1;1;0.171545454545455;0.913619501854796;0.785714285714286;2968;326;11.5766871165644;9.57807147366243;386;0.857142857142857;0.771428571428571;0.118359936363636
15;Y ~ X1 + X2;0.5;1;300;1;1;0.536272727272727;0.916765553483641;0.857142857142857;2;982;12.0142566191446;11.635878732826;1;1;0.714285714285714;0.178182590909091
16;Y ~ X1 + X2;0.5;1;300;1;1;0.275;0.92;0.853658536585366;2723;484;12.5;12.7319150072186;351;0.857142857142857;0.851851851851852;-0.141050372727273
17;Y ~ X1 + X2;0.5;1;300;1;1;0.346363636363636;0.920451562089787;0.794117647058823;2052;607;12.5328947368421;12.7123119361177;253;0.666666666666667;0.84;0.122097209090909
18;Y ~ X1 + X2;0.5;1;300;1;1;0.387454545454545;0.91156462585034;0.9375;32;753;11.3050397877984;11.2294635754591;2;0.909090909090909;0.952380952380952;-0.0639852545454545
19;Y ~ X1 + X2;0.5;1;300;1;1;0.515818181818182;0.800282037722545;0.617647058823529;6;2267;5.00352733686067;4.39368738883775;3;0.733333333333333;0.526315789473684;0.199327618181818
20;Y ~ X1 + X2;0.5;1;300;1;1;0.384272727272727;0.918618405488526;0.941176470588235;149;688;12.2877906976744;13.3174416773906;15;1;0.916666666666667;0.106832009090909
21;Y ~ X1 + X2;0.5;1;300;1;1;0.152090909090909;0.915122534369396;0.78125;481;284;11.7816901408451;12.6149276636865;54;1;0.766666666666667;0.0680646818181818
22;Y ~ X1 + X2;0.5;1;300;1;1;0.393818181818182;0.91433848995613;0.86046511627907;5;743;11.6451612903226;10.5566321931914;2;0.944444444444444;0.8;-0.0817805909090909
23;Y ~ X1 + X2;0.5;1;300;1;1;0.236727272727273;0.921658986175115;0.869565217391304;5557;408;12.7647058823529;13.5557062462363;689;1;0.842105263157895;-0.188662709090909
24;Y ~ X1 + X2;0.5;1;300;1;1;0.388454545454545;0.922087037903603;0.894736842105263;26;665;12.8318318318318;11.6172107707537;2;0.857142857142857;0.916666666666667;-0.0733455818181818
25;Y ~ X1 + X2;0.5;1;300;1;1;0.166727272727273;0.917121046892039;0.82051282051282;8;304;12.0657894736842;10.7977622483216;3;1;0.787878787878788;0.0986359727272727
